UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
1,358260.66,172796.50,51.4526008,-2.6020750
26,352967.00,181077.00,51.5266333,-2.6793612
27,352967.00,181077.00,51.5266333,-2.6793612
30,354800.00,180469.00,51.5213173,-2.6528615
31,354796.00,180460.00,51.5212360,-2.6529180
32,353473.00,180409.00,51.5206696,-2.6719790
33,352548.00,180308.00,51.5196842,-2.6852966
34,352515.00,180360.00,51.5201489,-2.6857792
38,352462.00,180401.00,51.5205131,-2.6865486
41,354662.00,180364.00,51.5203621,-2.6548369
42,358159.00,172793.00,51.4525618,-2.6035375
43,352300.00,180300.00,51.5195913,-2.6888696
44,352300.00,180300.00,51.5195913,-2.6888696
45,352300.00,180300.00,51.5195913,-2.6888696
46,352300.00,180300.00,51.5195913,-2.6888696
47,352300.00,180300.00,51.5195913,-2.6888696
48,352300.00,180300.00,51.5195913,-2.6888696
49,351682.39,178850.06,51.5065027,-2.6975704
53,352651.00,180172.00,51.5184701,-2.6837938
54,352700.00,180300.00,51.5196251,-2.6831050
55,352700.00,180300.00,51.5196251,-2.6831050
57,353107.00,180297.00,51.5196322,-2.6772390
58,353107.00,180297.00,51.5196322,-2.6772390
59,353098.00,180290.00,51.5195685,-2.6773677
63,352234.00,180396.00,51.5204488,-2.6898339
68,352313.00,180441.00,51.5208601,-2.6887015
70,352489.00,180242.00,51.5190858,-2.6861380
71,352400.00,180200.00,51.5187007,-2.6874149
74,352169.00,180352.00,51.5200477,-2.6907647
79,352600.00,180200.00,51.5187176,-2.6845326
80,352767.88,180043.90,51.5173283,-2.6820922
81,352750.00,180003.00,51.5169590,-2.6823444
84,352589.00,180165.00,51.5184020,-2.6846864
85,352600.00,180200.00,51.5187176,-2.6845326
86,351635.00,180138.00,51.5180781,-2.6984308
88,351635.00,180138.00,51.5180781,-2.6984308
89,351635.00,180138.00,51.5180781,-2.6984308
90,351635.00,180138.00,51.5180781,-2.6984308
92,351635.00,180138.00,51.5180781,-2.6984308
94,354045.00,180097.00,51.5179115,-2.6636942
95,352016.00,179917.00,51.5161237,-2.6929101
96,353343.65,179790.94,51.5151020,-2.6737611
97,358868.00,179802.00,51.5156325,-2.5941536
98,358877.00,179802.00,51.5156332,-2.5940239
99,352000.00,179800.00,51.5150705,-2.6931246
100,358882.00,179797.00,51.5155886,-2.5939513
101,358822.00,179792.00,51.5155392,-2.5948153
102,358818.00,179788.00,51.5155030,-2.5948725
103,358884.00,179787.00,51.5154988,-2.5939213
104,358815.00,179786.00,51.5154848,-2.5949155
105,358882.00,179779.00,51.5154268,-2.5939491
106,358845.00,179776.00,51.5153971,-2.5944820
107,358879.00,179774.00,51.5153816,-2.5939918
109,358874.00,179772.00,51.5153632,-2.5940636
110,358843.00,179770.00,51.5153430,-2.5945101
112,354406.00,179767.00,51.5149739,-2.6584488
113,354406.00,179767.00,51.5149739,-2.6584488
114,358839.00,179767.00,51.5153157,-2.5945674
115,358793.00,179766.00,51.5153033,-2.5952301
116,358906.00,179765.00,51.5153026,-2.5936017
117,358917.00,179765.00,51.5153034,-2.5934431
118,358836.00,179764.00,51.5152885,-2.5946103
119,358798.00,179763.00,51.5152767,-2.5951577
120,358807.00,179756.00,51.5152145,-2.5950272
121,358897.00,179755.00,51.5152121,-2.5937302
122,358928.00,179754.00,51.5152053,-2.5932833
123,358811.01,179752.67,51.5151848,-2.5949690
124,358765.00,179749.00,51.5151484,-2.5956316
125,358818.00,179747.00,51.5151343,-2.5948676
126,358863.00,179746.00,51.5151287,-2.5942191
127,358858.00,179745.00,51.5151193,-2.5942910
128,358928.00,179743.00,51.5151064,-2.5932821
129,358854.00,179742.00,51.5150920,-2.5943483
130,358826.00,179740.00,51.5150720,-2.5947515
131,358758.00,179737.00,51.5150400,-2.5957311
132,358926.00,179735.00,51.5150344,-2.5933099
133,358830.00,179734.00,51.5150183,-2.5946932
134,358882.00,179733.00,51.5150132,-2.5939438
135,358918.00,179732.00,51.5150068,-2.5934249
136,358834.00,179731.00,51.5149917,-2.5946352
137,358785.00,179730.00,51.5149791,-2.5953412
138,358878.00,179729.00,51.5149769,-2.5940009
139,358757.00,179725.00,51.5149321,-2.5957441
140,358877.00,179725.00,51.5149409,-2.5940149
141,358840.00,179723.00,51.5149202,-2.5945478
142,358960.00,179722.00,51.5149200,-2.5928185
143,358873.00,179721.00,51.5149046,-2.5940720
144,358846.00,179718.00,51.5148757,-2.5944608
145,358953.00,179718.00,51.5148835,-2.5929189
146,358788.00,179717.00,51.5148624,-2.5952964
147,358754.72,179718.88,51.5148769,-2.5957762
148,358946.00,179716.00,51.5148650,-2.5930195
150,354419.00,179716.00,51.5145165,-2.6582548
151,358851.00,179716.00,51.5148580,-2.5943885
152,358938.00,179713.00,51.5148374,-2.5931344
153,358758.00,179712.00,51.5148153,-2.5957281
154,358790.00,179711.00,51.5148086,-2.5952669
155,358974.00,179709.00,51.5148041,-2.5926152
156,358856.00,179708.00,51.5147865,-2.5943155
